12:52:17 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:17 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:17 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:17 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:17 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:17 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:17 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:17 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:17 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:17 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:17 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:17 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:17 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:17 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:17 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:17 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:17 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:17 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:17 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:17 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:17 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:17 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:17 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:17 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:17 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:18 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:18 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:18 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:18 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:18 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:18 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:18 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:18 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:18 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:18 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:18 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:18 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:18 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:18 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:18 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:18 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:18 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:18 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:18 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:18 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:18 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:18 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:18 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:18 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:18 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:18 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:18 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:18 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:18 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
12:52:18 | DEBUG    | NeuroFocus | Hand: detected=None, gesture=none
